timing unit: 1 / 1000000 of a second
maxDigits: 6000
trialsPerDigit: 10
digits	average mul() time	average fastMul() time	crossover achieved?	
1	0	0	0
10	3	14	0
20	5	39	0
30	11	68	0
40	20	109	0
50	30	154	0
60	44	194	0
70	61	315	0
80	78	325	0
90	102	382	0
100	124	501	0
110	158	579	0
120	182	617	0
130	206	672	0
140	243	830	0
150	272	893	0
160	309	964	0
170	351	1059	0
180	394	1158	0
190	433	1212	0
200	480	1329	0
210	527	1423	0
220	579	1514	0
230	647	1630	0
240	693	1738	0
250	748	1819	0
260	807	2023	0
270	876	2188	0
280	944	2349	0
290	1000	2492	0
300	1071	2613	0
310	1152	2733	0
320	1221	2864	0
330	1307	3052	0
340	1388	3161	0
350	1479	3350	0
360	1553	3422	0
370	1643	3495	0
380	1726	3611	0
390	1825	3812	0
400	1934	4141	0
410	2006	4129	0
420	2137	4329	0
430	2204	4398	0
440	2337	4556	0
450	2456	4737	0
460	2542	4917	0
470	2640	4999	0
480	2767	5174	0
490	2871	5320	0
500	3012	5572	0
510	3134	5650	0
520	3269	6114	0
530	3365	6332	0
540	3496	6629	0
550	3614	6818	0
560	3745	6990	0
570	3894	7192	0
580	4076	7553	0
590	4463	8227	0
600	4494	8328	0
610	4466	8069	0
620	4728	8445	0
630	5082	8965	0
640	5268	9188	0
650	5430	9465	0
660	5599	9687	0
670	5511	9473	0
680	5542	9534	0
690	6002	10365	0
700	5848	9774	0
710	6067	9964	0
720	6279	10176	0
730	6520	10499	0
740	6636	10898	0
750	7066	11807	0
760	7370	11544	0
770	7593	12234	0
780	7705	12255	0
790	7976	12792	0
800	8192	12786	0
810	8427	13038	0
820	8503	13219	0
830	8512	12916	0
840	8920	13664	0
850	9266	15022	0
860	9111	13991	0
870	9525	14069	0
880	10162	15760	0
890	9904	14369	0
900	9689	14019	0
910	10129	14746	0
920	10359	14738	0
930	10354	14863	0
940	10680	15741	0
950	10809	15255	0
960	11179	15806	0
970	11906	16831	0
980	11814	16423	0
990	11870	16522	0
1000	12126	17107	0
1010	12380	16926	0
1020	12564	17128	0
1030	12761	17457	0
1040	13114	18293	0
1050	13322	18654	0
1060	13571	18928	0
1070	13866	19601	0
1080	13953	19546	0
1090	14409	20158	0
1100	14501	20277	0
1110	14943	20807	0
1120	15081	20934	0
1130	15849	22039	0
1140	16378	23228	0
1150	15874	22345	0
1160	16075	22273	0
1170	16572	24242	0
1180	16902	23534	0
1190	17074	23896	0
1200	17422	23807	0
1210	17656	24714	0
1220	18044	24973	0
1230	18495	25499	0
1240	19426	26069	0
1250	19296	26709	0
1260	19090	25150	0
1270	20016	36420	0
1280	19706	25645	0
1290	20129	26225	0
1300	20322	26824	0
1310	20658	27014	0
1320	20972	27172	0
1330	21386	27645	0
1340	21578	27531	0
1350	22044	28022	0
1360	22230	28327	0
1370	22641	28644	0
1380	23039	28972	0
1390	23263	29195	0
1400	23654	29270	0
1410	23865	29838	0
1420	24360	31180	0
1430	24675	30750	0
1440	24975	31209	0
1450	25219	31569	0
1460	25706	31731	0
1470	25901	32074	0
1480	26243	32222	0
1490	26987	32591	0
1500	27148	32921	0
1510	27469	32499	0
1520	28024	32870	0
1530	28138	33916	0
1540	28520	34546	0
1550	28709	34517	0
1560	29261	35175	0
1570	29914	35172	0
1580	30143	35882	0
1590	30720	36755	0
1600	30894	36004	0
1610	31145	37401	0
1620	31498	38471	0
1630	31975	38184	0
1640	32444	38691	0
1650	33146	38977	0
1660	33809	39392	0
1670	33546	39398	0
1680	33925	39581	0
1690	34457	39750	0
1700	34797	39678	0
1710	35221	39394	0
1720	35696	40154	0
1730	36180	40552	0
1740	36547	40627	0
1750	36991	41643	0
1760	37191	41902	0
1770	37507	42418	0
1780	38261	41644	0
1790	38653	42198	0
1800	38943	43932	0
1810	39396	43408	0
1820	39830	43721	0
1830	40836	44336	0
1840	41069	44129	0
1850	41365	45290	0
1860	41621	44842	0
1870	42109	46283	0
1880	43102	50178	0
1890	43083	45655	0
